id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento
97,Modesto Gerardo Medina Rocha,34.0,M,Arequipa,Paucarpata,2021-02-15,App,Nuevo
98,Leonel Gerardo Serrano,23.0,M,Cusco,Wanchaq,2021-03-11,App,Ocasional
99,Linda Amalia Sáenz Haro,55.0,F,Arequipa,Cerro Colorado,2022-09-05,Tienda Física,Nuevo
100,Srita. Luz Esparza,46.0,F,Trujillo,La Merced,2022-03-04,App,Nuevo
101,Patricia Rolón Villanueva,63.0,F,Trujillo,Vista Alegre,2022-02-17,App,Ocasional
102,María Teresa Tamayo,41.0,F,Arequipa,Paucarpata,2021-03-03,Tienda Física,Nuevo
103,Pablo Gamez Olivo,44.0,M,Piura,Veintiséis de Octubre,2022-04-21,Web,Premium
104,Mónica Rivero Cintrón,33.0,F,Trujillo,Vista Alegre,2022-04-02,App,Premium
105,Elvia Miriam Martínez Jaramillo,39.0,F,Cusco,Santiago,2022-12-16,Web,Regular
106,Santiago Alvarez,18.0,M,Lima,La Molina,2022-07-04,Web,Ocasional
107,Tomás Ramiro de la Crúz Tamez,27.0,M,Cusco,Wanchaq,2020-03-02,Web,Regular
108,Rubén Negrete Gamboa,46.0,M,Lima,Barranco,2021-10-13,Tienda Física,Nuevo
109,Sr. Rodolfo de la Rosa,48.0,M,Lima,San Miguel,2020-09-08,App,Ocasional
110,Leonor Carranza,42.0,F,Lima,San Isidro,2022-05-01,Web,Nuevo
111,Liliana Pacheco Adame,33.0,F,Cusco,Santiago,2021-03-31,Tienda Física,Premium
112,Federico Amador Iglesias,36.0,M,Piura,Veintiséis de Octubre,2021-08-24,Tienda Física,Ocasional
113,Ramón Gustavo Noriega,26.0,M,Lima,Pueblo Libre,2021-10-17,Tienda Física,Ocasional
114,Gonzalo de la Fuente Arce,46.0,M,Lima,Miraflores,2020-03-20,App,Ocasional
115,Virginia Ruby Valenzuela,56.0,F,Lima,San Miguel,2020-09-06,App,Nuevo
116,Mateo Ulloa Aranda,38.0,M,Arequipa,Cercado,2020-04-19,Web,Nuevo
117,Miguel Ángel Porfirio Aragón Espinal,18.0,M,Trujillo,Vista Alegre,2022-10-09,Web,Regular
118,Alvaro Lovato,40.0,M,Cusco,Santiago,2022-03-01,App,Premium
119,Enrique Barraza Leiva,34.0,M,Lima,Barranco,2020-09-10,Tienda Física,Ocasional
120,Abelardo Hugo Armas,28.0,M,Cusco,Santiago,2022-04-30,Tienda Física,Regular
121,Esperanza Becerra,32.0,F,Arequipa,Cercado,2021-07-27,Tienda Física,Nuevo
122,Srita. Nayeli Sierra,20.0,F,Lima,San Isidro,2021-08-08,Tienda Física,Regular
123,Dr. Oswaldo Avilés,35.0,M,Arequipa,Yanahuara,2022-09-01,Tienda Física,Regular
124,Dra. Elisa Terán,44.0,F,Lima,Surco,2022-10-13,Tienda Física,Nuevo
125,Miguel Brito,42.0,M,Trujillo,Mansiche,2021-07-12,Web,Ocasional
126,Alejandro Adalberto Pedraza,43.0,M,Cusco,San Sebastián,2020-06-14,Tienda Física,Premium
127,Rodrigo Burgos,19.0,M,Lima,Jesus María,2021-06-14,Web,Ocasional
128,Tania Domínguez,29.0,F,Trujillo,Mansiche,2020-10-06,Tienda Física,Regular
129,Elsa Clara Valdivia,39.0,F,Trujillo,Centro,2020-08-03,Tienda Física,Ocasional
130,Mayte Ilse Pabón,36.0,F,Trujillo,Vista Alegre,2022-03-16,Tienda Física,Premium
131,Enrique Miguel Ángel Caballero Almaraz,51.0,M,Lima,Pueblo Libre,2021-04-11,Tienda Física,Ocasional
132,Ángela Caridad Valverde Sierra,32.0,F,Lima,La Molina,2020-05-25,Tienda Física,Premium
133,Nicolás Eduardo Medrano,34.0,M,Lima,Magdalena,2022-03-09,Web,Regular
134,Oswaldo Roberto Carrillo,24.0,M,Cusco,Cercado,2022-02-26,Web,Premium
135,Abigail Juana Burgos,36.0,F,Lima,Magdalena,2022-06-01,App,Premium
136,Ruby Peralta,50.0,F,Trujillo,Mansiche,2022-01-23,Tienda Física,Regular
137,Dra. Micaela Moya,70.0,F,Arequipa,Paucarpata,2021-02-23,Web,Regular
138,Trinidad Villareal Alonso,47.0,F,Lima,San Miguel,2021-01-04,App,Regular
139,Genaro Claudio Ocasio Guevara,44.0,M,Lima,Magdalena,2021-11-24,Tienda Física,Regular
140,Perla Tania Velázquez Valverde,40.0,F,Lima,La Molina,2022-01-10,Tienda Física,Nuevo
141,Iván Renato Alarcón,41.0,M,Trujillo,Mansiche,2022-10-06,Web,Premium
142,Indira del Río Reynoso,40.0,F,Lima,San Isidro,2022-07-19,Tienda Física,Nuevo
143,Sr. Germán Rodríguez,30.0,M,Trujillo,Mansiche,2021-03-29,Web,Regular
144,Rebeca Martha Romo,33.0,F,Arequipa,Cayma,2021-08-23,Tienda Física,Ocasional
145,Andrea Cavazos Acuña,46.0,F,Arequipa,Cayma,2021-01-12,Tienda Física,Ocasional
146,Ing. Diego Pantoja,33.0,M,Lima,Jesus María,2021-06-16,Tienda Física,Ocasional
147,Alejandra Magdalena Lucero Corona,34.0,F,Arequipa,Paucarpata,2020-04-24,App,Regular
148,Salma Adame,35.0,F,Lima,Magdalena,2021-06-22,App,Ocasional
149,Patricia Casas,39.0,F,Lima,Barranco,2020-06-24,Web,Premium
150,Elisa Meléndez Quiroz,18.0,F,Lima,Pueblo Libre,2021-07-27,Tienda Física,Nuevo
151,Judith Lara Quiñones,35.0,F,,Paucarpata,2022-09-11,App,Regular
152,Frida Henríquez,38.0,F,Cusco,Cercado,2022-03-25,App,Ocasional
153,Zacarías Partida,27.0,M,Lima,Jesus María,2021-11-11,Tienda Física,Regular
154,Francisca Marroquín,21.0,F,Arequipa,Yanahuara,2020-01-31,App,Ocasional
155,Camilo Vicente Ulibarri,63.0,M,Lima,La Molina,2022-05-20,Web,Regular
156,Delia Gallardo Lozano,30.0,F,Lima,Jesus María,2022-11-05,Web,Ocasional
157,Elena Melgar,59.0,F,Arequipa,Cercado,2020-08-06,Web,Regular
158,Asunción Elisa Olmos,40.0,F,Lima,La Molina,2021-09-29,Web,Premium
159,Pilar Hilda Terán,41.0,F,Lima,San Isidro,2022-05-13,Tienda Física,Nuevo
160,Diana Ulloa,29.0,F,Trujillo,La Merced,2021-02-05,Web,Regular
161,Natalia Nancy Ochoa Irizarry,31.0,F,Arequipa,Paucarpata,2022-06-14,Tienda Física,Regular
162,Mauricio Germán del Río Sauceda,32.0,M,Cusco,Wanchaq,2021-08-30,App,Premium
163,Alta  Gracia Rosalia Estévez Macías,48.0,F,Piura,Centro,2020-01-28,Tienda Física,Regular
164,Marcos Santiago Castillo,53.0,M,Arequipa,Cayma,2020-06-27,Tienda Física,Ocasional
165,José María Salgado,39.0,M,Lima,Jesus María,2022-03-10,App,Ocasional
166,Reina Maldonado Arce,32.0,F,Lima,Pueblo Libre,2020-09-08,App,Ocasional
167,Lic. Ilse Valenzuela,21.0,F,Arequipa,Cercado,2020-03-15,Tienda Física,Regular
168,Lilia Elena Téllez Segura,37.0,F,Cusco,San Jerónimo,2021-01-13,Tienda Física,Regular
169,Sonia Rocío Santillán Montez,57.0,F,Arequipa,Yanahuara,2022-02-03,Web,Nuevo
170,Julia Mitzy Garay Alcántar,53.0,F,Trujillo,Vista Alegre,2020-11-07,Tienda Física,Nuevo
171,Ramón Portillo,24.0,M,Lima,Miraflores,2020-08-08,Web,Regular
172,Rosalia Narváez,28.0,F,Lima,Barranco,2021-01-23,Web,Regular
173,Noemí Paola Ocasio,51.0,F,Arequipa,Paucarpata,2021-03-06,Tienda Física,Nuevo
174,Alicia Barbara Gracia Galván,41.0,F,Lima,Barranco,2022-05-14,Tienda Física,Ocasional
175,Óscar Wilfrido Orta,44.0,M,Lima,Lince,2022-02-15,Tienda Física,Nuevo
176,Celia Puga,31.0,F,Cusco,San Jerónimo,2020-08-20,Web,Ocasional
177,Srita. Jaqueline Angulo,31.0,F,Cusco,Santiago,2020-05-30,Web,Ocasional
178,Sr. Bruno Carrión,69.0,M,Lima,Magdalena,2020-12-23,Tienda Física,Premium
179,Leonardo Cornelio Reyna,39.0,M,Lima,Magdalena,2022-10-16,App,Ocasional
180,Ing. Rafaél Calvillo,37.0,M,Lima,San Isidro,2021-02-23,Tienda Física,Regular
181,Genaro Mayorga,39.0,M,Lima,Lince,2022-09-26,Tienda Física,Nuevo
182,Abel Bernardo Barraza Mondragón,53.0,M,Cusco,San Jerónimo,2022-02-02,Web,Regular
183,María Cristina Rosario Pedraza,47.0,F,Cusco,Cercado,2021-08-14,Web,Ocasional
184,Sara Caraballo Espino,30.0,F,Trujillo,El Recreo,2021-01-17,Tienda Física,Regular
185,Ing. Indira Villegas,28.0,F,Trujillo,El Recreo,2022-04-23,Web,Nuevo
186,Cornelio Benjamín Montemayor,30.0,M,Trujillo,El Recreo,2020-07-15,App,Regular
187,Eduardo Martín Robledo,45.0,M,Arequipa,Paucarpata,2020-11-25,Tienda Física,Ocasional
188,Nayeli Piña Ceja,22.0,F,Piura,Centro,2021-10-29,Tienda Física,Nuevo
189,Agustín Rivas Piña,18.0,M,Lima,La Molina,2022-11-02,Tienda Física,Ocasional
190,Magdalena Salinas Ballesteros,52.0,F,Arequipa,Cerro Colorado,2022-01-17,App,Ocasional
191,Nicolás Montoya,62.0,M,Lima,Lince,2022-02-07,Tienda Física,Premium
192,Amelia Pantoja Durán,37.0,F,Lima,Lince,2021-03-20,,Ocasional
193,Armando Herrera,39.0,M,Lima,San Isidro,2020-10-07,Tienda Física,Ocasional
194,Lic. Emilia Pineda,55.0,F,Cusco,Cercado,2020-12-08,App,Regular
195,Jos de la Garza Alba,44.0,M,Lima,Surco,2021-09-28,Web,Premium
196,Raquel Rebeca Maldonado,58.0,F,Lima,Jesus María,2021-04-10,Web,Regular
197,Luisa Aurora Gastélum Nava,54.0,F,Lima,Pueblo Libre,2021-07-09,Tienda Física,Ocasional
198,Luis Borrego Vélez,68.0,M,Lima,Barranco,2020-06-05,App,Premium
199,Dra. Guadalupe Ponce,40.0,F,Lima,Surco,2022-07-27,App,Ocasional
200,Lic. Gloria González,44.0,F,Cusco,Wanchaq,2022-09-26,Tienda Física,Regular
201,Lic. Cristal Suárez,40.0,F,Lima,Surco,2020-08-27,Tienda Física,Nuevo
202,Esmeralda Aponte,34.0,F,Lima,Barranco,2020-12-26,Web,Nuevo
203,Ing. Ramón Rincón,18.0,M,Lima,Lince,2022-08-11,Web,Regular
204,Lilia Esperanza Franco Villanueva,53.0,F,Piura,Miraflores,2021-04-04,Tienda Física,Premium
205,Emiliano Muñiz,37.0,M,Lima,San Miguel,2022-10-07,Web,Regular
206,Dra. Estefanía Márquez,60.0,F,Trujillo,Vista Alegre,2021-12-16,Web,Ocasional
207,Uriel Gurule Abreu,18.0,M,Piura,Castilla,2021-04-03,Tienda Física,Regular
208,Timoteo Teodoro Miranda,54.0,M,Lima,San Miguel,2022-03-15,Tienda Física,Regular
209,Sandra Blanca Miramontes Palomino,23.0,F,Piura,Sullana,2021-06-11,Tienda Física,Ocasional
210,Reina Riojas,45.0,F,Cusco,San Sebastián,2022-11-19,Tienda Física,Regular
211,Lic. Carlos Nieves,41.0,M,Lima,Pueblo Libre,2021-07-19,Tienda Física,Nuevo
212,Mauricio Viera,50.0,M,Lima,La Molina,2022-09-15,Tienda Física,Regular
213,Rufino José María Muñiz Alcaraz,30.0,M,Arequipa,Cerro Colorado,2022-06-01,App,Ocasional
214,Juan Carlos Jos Heredia Rosado,22.0,M,Piura,Miraflores,2020-10-09,Web,Regular
215,José Eduardo Pedraza Robledo,45.0,M,Lima,Miraflores,2022-12-30,Tienda Física,Ocasional
216,Raquel Altamirano Lozano,55.0,F,Piura,Sullana,2021-08-06,Tienda Física,Ocasional
217,Lic. Ana Carrillo,33.0,F,Piura,Castilla,2020-10-06,Web,Regular
218,Lucía Esperanza Olivo Macías,39.0,F,Trujillo,Mansiche,2022-08-27,Web,Premium
219,Abigail Delia Gamez Baeza,18.0,F,Lima,San Isidro,2020-08-21,Web,Ocasional
220,Gabino del Valle Arroyo,29.0,M,Lima,San Isidro,2021-03-29,Web,Nuevo
221,Wilfrido Reynaldo Reyes Candelaria,57.0,M,Lima,Barranco,2022-09-10,Web,Premium
222,Sr. Humberto Castro,20.0,M,Cusco,Cercado,2021-03-21,Web,Regular
223,Luis Miguel Girón Carrión,42.0,M,Lima,Jesus María,2021-04-08,Web,Nuevo
224,Aurora Becerra Villalpando,40.0,F,Cusco,Wanchaq,2022-12-30,Web,Nuevo
225,Alfonso Chapa,34.0,M,Cusco,San Jerónimo,2021-03-29,Tienda Física,Regular
226,Rolando Alva,28.0,M,Cusco,San Sebastián,2020-07-16,App,Ocasional
227,Lucas José Luis Valdés Quintana,43.0,M,Lima,Lince,2022-05-05,Tienda Física,Regular
228,Ana Liliana Marrero,36.0,F,Lima,La Molina,2021-02-01,Tienda Física,Regular
229,Estela Sandra Terán,43.0,F,Arequipa,Yanahuara,2021-02-28,Tienda Física,Regular
230,Uriel Leonardo Arriaga,32.0,M,Cusco,San Sebastián,2022-09-02,Web,Regular
231,María Vela Paz,58.0,F,Trujillo,El Recreo,2020-08-21,Tienda Física,Regular
232,Luz Contreras,44.0,F,Lima,Barranco,2022-10-04,Tienda Física,Regular
233,Fabiola Cabrera Cazares,31.0,F,Trujillo,La Merced,2020-07-24,Web,Ocasional
234,Dalia Jimínez,50.0,F,Lima,Jesus María,2020-05-15,Tienda Física,Ocasional
235,Ramón Corona,18.0,M,Piura,Centro,2021-11-06,Web,Premium
236,Javier Eloy Lucero,52.0,M,Lima,Surco,2020-09-13,App,Regular
237,Camilo Espinoza Robledo,29.0,M,Cusco,Santiago,2020-09-29,Tienda Física,Regular
238,Augusto Murillo,29.0,M,Lima,Miraflores,2021-10-05,Tienda Física,Ocasional
239,Augusto Alarcón,47.0,M,Lima,Jesus María,2021-09-17,Web,Regular
240,Olivia Susana Caballero Lebrón,38.0,F,Piura,Castilla,2022-07-06,Tienda Física,Regular
241,Srita. Dalia Molina,32.0,F,Lima,Surco,2022-11-03,App,Premium
242,Arcelia Gabriela Tijerina Valenzuela,18.0,F,Lima,San Miguel,2021-05-28,Web,Ocasional
243,Natividad Beltrán Garza,49.0,F,Arequipa,Cayma,2022-09-19,Web,Regular
244,Noelia Montero,18.0,F,Arequipa,Cayma,2021-05-22,Web,Regular
245,Claudia Catalina Esquibel,34.0,F,Lima,Barranco,2021-05-16,Web,Regular
246,Ing. Clemente Orellana,46.0,M,Trujillo,El Recreo,2020-08-21,Tienda Física,Ocasional
247,Patricia Sessa Rodríguez Naranjo,33.0,F,Trujillo,Centro,2021-05-03,Tienda Física,Premium
248,Cynthia Conchita Murillo,45.0,F,Piura,Centro,2021-01-15,Tienda Física,Regular
249,Anabel Yáñez,46.0,F,Lima,San Miguel,2020-06-02,App,Nuevo
250,Rosalia Fabiola Téllez,37.0,F,Lima,Miraflores,2020-04-23,Web,Ocasional
251,Rodrigo Montaño Gastélum,39.0,M,Arequipa,Cerro Colorado,2022-12-12,Tienda Física,Regular
252,María José Salma Aponte Magaña,33.0,F,Trujillo,Mansiche,2021-02-06,Tienda Física,Ocasional
253,Estela María Orozco,31.0,F,Lima,Barranco,2021-03-09,Web,Premium
254,Diana Maldonado Castañeda,44.0,F,Trujillo,La Merced,2021-10-21,App,Ocasional
255,Teresa Liliana Becerra Roque,58.0,F,Cusco,Santiago,2020-12-28,Web,Regular
256,Horacio Isaac Ceja Arreola,55.0,M,Arequipa,Paucarpata,2022-03-05,Tienda Física,Regular
257,Humberto Puga Bustamante,49.0,M,Piura,Centro,2021-09-20,Tienda Física,Ocasional
258,Socorro Débora Toledo,52.0,F,Arequipa,Cerro Colorado,2020-11-21,Tienda Física,Nuevo
259,Aldo Mascareñas Ferrer,19.0,M,Lima,Surco,2021-02-06,App,Regular
260,Zeferino Matos Cabrera,62.0,M,Trujillo,La Merced,2021-03-18,Web,Regular
261,Pablo Ramiro Patiño Mesa,27.0,M,Trujillo,El Recreo,2020-11-04,App,Ocasional
262,Dr. Alfredo Muñiz,42.0,M,Arequipa,Cayma,2021-01-30,App,Ocasional
263,Lic. Óscar Portillo,36.0,M,Lima,Lince,2022-06-23,Web,Regular
264,Rosario Monroy Naranjo,25.0,F,Trujillo,Mansiche,2022-12-19,App,Ocasional
265,Natalia Esparta Vaca,46.0,F,Cusco,Santiago,2020-08-29,Tienda Física,Ocasional
266,Dra. Leonor Terrazas,32.0,F,Arequipa,Cerro Colorado,2020-03-13,App,Ocasional
267,Agustín Prieto Rivero,41.0,M,Lima,La Molina,2020-03-02,Tienda Física,Regular
268,Sara Zamora Arenas,46.0,F,Lima,Jesus María,2022-09-03,App,Ocasional
269,Carolina Rojas,44.0,F,Arequipa,Cerro Colorado,2022-07-13,Tienda Física,Regular
270,Clemente Moya,35.0,M,Trujillo,Mansiche,2022-03-14,Web,Ocasional
271,Estefanía Carvajal Guerra,38.0,F,Trujillo,Centro,2022-04-10,App,Ocasional
272,Francisco Javier Franco,30.0,M,Lima,San Miguel,2021-09-05,Tienda Física,Regular
273,Fidel Maximiliano Aguirre Casas,37.0,M,Lima,Surco,2022-08-25,Tienda Física,Ocasional
274,Raúl Roldán Montoya,48.0,M,Arequipa,Cercado,2022-06-06,Web,Ocasional
275,Karina Sara Centeno,27.0,F,Trujillo,El Recreo,2022-11-24,Tienda Física,Regular
276,Tomás Israel Duarte,23.0,M,Lima,Surco,2021-11-13,Tienda Física,Regular
277,Marcos Hugo Pichardo Pulido,32.0,M,Arequipa,Yanahuara,2020-04-22,Web,Regular
278,Ing. Débora Burgos,34.0,F,Piura,Veintiséis de Octubre,2020-12-25,Web,Ocasional
279,José María Nazario,37.0,M,Arequipa,Paucarpata,2021-12-06,App,Regular
280,Rebeca Natividad Zambrano,48.0,F,Cusco,San Sebastián,2022-01-08,Tienda Física,Nuevo
281,Lic. Guillermo Mateo,39.0,M,Arequipa,Yanahuara,2020-11-28,Tienda Física,Premium
282,Hermelinda Nayeli Burgos,36.0,F,Arequipa,Cayma,2021-01-22,App,Ocasional
